destinationAirport,cheapestFare,cheapestAirline,averageFare
OAK,549.6,Delta,736.2063636363637
LGA,133.6,JetBlue Airways,333.42454545454564
DEN,313.6,United,356.2923076923079
CLT,268.6,Delta,651.4453846153847
MIA,337.2,American Airlines,666.8420000000001
DFW,252.61,Delta,344.9115384615386
SFO,353.6,American Airlines,532.3103448275863
ATL,248.6,JetBlue Airways,427.37173913043483
ORD,127.6,American Airlines,393.6159375000001
LAX,311.6,American Airlines,526.6258
JFK,268.6,Delta,460.43888888888887
